Time,Contract,Open,High,Low,Last,Open Int,Volume
9/10/2024,NGV24 (Oct '24),2.236,2.247,2.228,2.232,223835,183556
9/10/2024,NGX24 (Nov '24),2.516,2.58,2.497,2.545,256211,96908
9/10/2024,NGZ24 (Dec '24),3.021,3.084,3.013,3.037,125713,48294
9/10/2024,NGF25 (Jan '25),3.319,3.371,3.302,3.327,175619,44786
9/10/2024,NGG25 (Feb '25),3.192,3.245,3.183,3.209,67625,17689
9/10/2024,NGH25 (Mar '25),2.882,2.939,2.877,2.903,137103,25008
9/10/2024,NGJ25 (Apr '25),2.765,2.818,2.761,2.785,84280,14298
9/10/2024,NGK25 (May '25),2.816,2.862,2.812,2.829,54713,4462
9/10/2024,NGM25 (Jun '25),2.965,3.011,2.96,2.974,29269,3337
9/10/2024,NGN25 (Jul '25),3.122,3.168,3.117,3.131,19665,2783
9/10/2024,NGQ25 (Aug '25),3.156,3.203,3.152,3.169,17665,1491
9/10/2024,NGU25 (Sep '25),3.136,3.182,3.133,3.15,18776,3878
9/10/2024,NGV25 (Oct '25),3.22,3.268,3.216,3.232,53535,11934
9/10/2024,NGX25 (Nov '25),3.469,3.512,3.467,3.471,16642,3327
9/10/2024,NGZ25 (Dec '25),3.85,3.884,3.835,3.836,23358,2557
9/10/2024,NGF26 (Jan '26),4.108,4.14,4.075,4.088,39501,4862
9/10/2024,NGG26 (Feb '26),3.901,3.935,3.876,3.885,11871,1427
9/10/2024,NGH26 (Mar '26),3.387,3.426,3.379,3.38,22840,1565
9/10/2024,NGJ26 (Apr '26),3.079,3.116,3.069,3.079,41697,2197
9/10/2024,NGK26 (May '26),3.114,3.144,3.108,3.112,10280,784
9/10/2024,NGM26 (Jun '26),3.275,3.277,3.243,3.252,4665,256
9/10/2024,NGN26 (Jul '26),3.428,3.429,3.389,3.407,8306,162
9/10/2024,NGQ26 (Aug '26),3.465,3.465,3.425,3.443,3441,125
9/10/2024,NGU26 (Sep '26),3.435,3.435,3.395,3.415,4249,165
9/10/2024,NGV26 (Oct '26),3.472,3.49,3.458,3.472,20081,973
9/10/2024,NGX26 (Nov '26),3.718,3.718,3.718,3.721,5783,90
9/10/2024,NGZ26 (Dec '26),4.09,4.09,4.09,4.092,4145,128
9/10/2024,NGF27 (Jan '27),,,,4.347,11674,510
9/10/2024,NGG27 (Feb '27),,,,4.122,1550,13
9/10/2024,NGH27 (Mar '27),3.532,3.532,3.532,3.532,4457,15
9/10/2024,NGJ27 (Apr '27),,,,3.072,13302,6
9/10/2024,NGK27 (May '27),,,,3.089,1858,5
9/10/2024,NGM27 (Jun '27),,,,3.217,758,5
9/10/2024,NGN27 (Jul '27),,,,3.349,1583,
9/10/2024,NGQ27 (Aug '27),,,,3.39,996,
9/10/2024,NGU27 (Sep '27),,,,3.356,480,
9/10/2024,NGV27 (Oct '27),3.47,3.47,3.455,3.438,6877,354
9/10/2024,NGX27 (Nov '27),,,,3.691,1627,1
9/10/2024,NGZ27 (Dec '27),,,,4.077,459,
9/10/2024,NGF28 (Jan '28),,,,4.328,6557,321
9/10/2024,NGG28 (Feb '28),,,,4.106,429,2
9/10/2024,NGH28 (Mar '28),,,,3.456,954,
9/10/2024,NGJ28 (Apr '28),,,,2.96,3237,2
9/10/2024,NGK28 (May '28),,,,2.986,326,
9/10/2024,NGM28 (Jun '28),,,,3.134,235,
9/10/2024,NGN28 (Jul '28),,,,3.303,239,
9/10/2024,NGQ28 (Aug '28),,,,3.345,215,
